language,segment_type,n
Temiar,vowel,30
Ter Saami,consonant,51
Ter Saami,vowel,18
Thakali,consonant,19
Thakali,vowel,14
Tibetan,consonant,27
Tibetan,vowel,25
Tirahi,consonant,27
Tirahi,vowel,11
Torwali,consonant,45
Torwali,vowel,15
Tsez,consonant,36
Tsez,vowel,6
Tshangla,consonant,32
Tshangla,vowel,7
Tu,consonant,50
Tu,vowel,16
Tulu,consonant,21
Tulu,vowel,14
Tundra Nenets,consonant,77
Tundra Nenets,vowel,26
Turkish,consonant,23
Turkish,vowel,15
Turkmen,consonant,21
Turkmen,vowel,16
Tuvinian,consonant,28
Tuvinian,vowel,24
Udihe,consonant,19
Udihe,vowel,21
Udmurt,consonant,108
Udmurt,vowel,34
Uighur,consonant,28
Uighur,vowel,15
Ukrainian,consonant,35
Ukrainian,vowel,6
Upper Sorbian,consonant,33
Upper Sorbian,vowel,9
Urdu,consonant,37
Urdu,vowel,21
Ushojo,consonant,36
Ushojo,vowel,17
Varli,consonant,28
Varli,vowel,18
Veps,consonant,34
Veps,vowel,10
Vietnamese,consonant,21
Vietnamese,vowel,22
Vlax Romani,consonant,27
Vlax Romani,vowel,7
Votic,consonant,35
Votic,vowel,20
Wakhi,consonant,38
Wakhi,vowel,12
Walungge,consonant,32
Walungge,vowel,16
Waneci,consonant,23
Waneci,vowel,7
Wayu,consonant,55
Wayu,vowel,49
Welsh,consonant,29
Welsh,vowel,19
West Itelmen,consonant,27
West Itelmen,vowel,5
Western Balochi,consonant,95
Western Balochi,vowel,49
Western Farsi,consonant,23
Western Farsi,vowel,6
Western Frisian,consonant,19
Western Frisian,vowel,32
Western Mari,consonant,47
Western Mari,vowel,20
Western Muria,consonant,21
Western Muria,vowel,5
Wotapuri-Katarqalai,consonant,34
Wotapuri-Katarqalai,vowel,20
Wymysorys,consonant,20
Wymysorys,vowel,15
Yaben (Konda),consonant,23
Yaben (Konda),vowel,10
Yagnobi,consonant,27
Yagnobi,vowel,9
Yazgulyam,consonant,37
Yazgulyam,vowel,8
Yue Chinese,consonant,19
Yue Chinese,vowel,28
NA,consonant,1305
NA,vowel,553
